date,Wind Speed,Temperature,Pressure,Relative Humidity,GHI
2011-01-04 17:00:00,13.6480858817,33,58.8860013047,1.8997086287,13.6480858817
2011-01-04 18:00:00,12.7292466993,0,60.9119675159,2.0108702183,12.7292466993
2011-01-04 19:00:00,11.9583648271,0,63.0015285131,1.9612369537,11.9583648271
2011-01-04 20:00:00,11.2127288408,0,64.7793112962,2.0440757275,11.2127288408
2011-01-04 21:00:00,10.5215323633,0,65.91352136,2.315022707,10.5215323633
2011-01-04 22:00:00,9.9649991652,0,68.0994614725,2.4441246986,9.9649991652
2011-01-04 23:00:00,9.2594029132,0,70.369415379,2.3993794918,9.2594029132
2011-01-05 00:00:00,8.5772810926,0,72.8266506667,2.3161656857,8.5772810926
2011-01-05 01:00:00,8.0009161799,0,75.741488935,2.2677531242,8.0009161799
2011-01-05 02:00:00,7.43879546,0,79.7489550164,2.0659503937,7.43879546
2011-01-05 03:00:00,6.9213949348,0,84.2287837499,1.8538405895,6.9213949348
2011-01-05 04:00:00,6.4359927717,0,87.8941303464,1.7668622732,6.4359927717
2011-01-05 05:00:00,5.9376662846,0,90.5449408682,1.8349369764,5.9376662846
2011-01-05 06:00:00,5.4498103429,0,92.6519640782,2.0064864159,5.4498103429
2011-01-05 07:00:00,6.5507158774,0,86.3624878054,2.1813554764,6.5507158774
2011-01-05 08:00:00,9.5003331788,156,73.7500697681,2.0346710682,9.5003331788
2011-01-05 09:00:00,12.9296267782,358,60.8215259804,1.72663939,12.9296267782
2011-01-05 10:00:00,16.3946856119,537,46.9858271347,2.0371079445,16.3946856119
2011-01-05 11:00:00,18.3079773416,636,42.0683985309,2.1334290504,18.3079773416
2011-01-05 12:00:00,19.6194256689,688,38.4981494458,2.2301414013,19.6194256689
2011-01-05 13:00:00,20.2408671937,669,36.0873161109,2.3394942284,20.2408671937
2011-01-05 14:00:00,20.0595954567,596,36.1750386067,2.3801195621,20.0595954567
2011-01-05 15:00:00,18.9834763493,444,38.2464426559,2.4194407463,18.9834763493
2011-01-05 16:00:00,16.6416355175,247,48.5841881472,2.4988493919,16.6416355175
2011-01-05 17:00:00,13.947417726,30,56.9612818794,2.7275025845,13.947417726
2011-01-05 18:00:00,12.9216936608,0,58.713538661,2.9921476841,12.9216936608
2011-01-05 19:00:00,12.0305740389,0,60.247652333,3.1111485958,12.0305740389
2011-01-05 20:00:00,11.1987281475,0,62.1493572136,3.1782183647,11.1987281475
2011-01-05 21:00:00,10.4167203315,0,64.4396872103,3.2263362408,10.4167203315
2011-01-05 22:00:00,9.6467259824,0,67.314881434,3.1986653805,9.6467259824
2011-01-05 23:00:00,8.8956544939,0,70.390091124,3.0233192444,8.8956544939
2011-01-06 00:00:00,8.1997226426,0,73.6844985575,2.6750283241,8.1997226426
2011-01-06 01:00:00,7.6037036882,0,78.5325597181,2.2019236088,7.6037036882
2011-01-06 02:00:00,7.1738058402,0,85.3335039747,1.6306111813,7.1738058402
2011-01-06 03:00:00,6.7551479635,0,90.4505870768,1.2329940796,6.7551479635
2011-01-06 04:00:00,6.3104542875,0,93.4344234253,1.307038188,6.3104542875
2011-01-06 05:00:00,5.8204862197,0,94.6210419587,1.6558192968,5.8204862197
2011-01-06 06:00:00,5.3345016683,0,95.2529378994,1.9853585958,5.3345016683
2011-01-06 07:00:00,6.5182196094,0,86.6427770746,2.1745979786,6.5182196094
2011-01-06 08:00:00,9.593145199,156,74.5093957655,2.1011269093,9.593145199
2011-01-06 09:00:00,13.056108947,358,61.5508575905,1.8407706022,13.056108947
2011-01-06 10:00:00,17.0079896065,521,47.2844065925,2.0489652157,17.0079896065
2011-01-06 11:00:00,19.4313124258,637,41.4168741766,2.1506557465,19.4313124258
2011-01-06 12:00:00,21.1059032963,690,36.5484883715,2.2490894794,21.1059032963
2011-01-06 13:00:00,21.9277222345,671,35.0474188962,2.2541701794,21.9277222345
2011-01-06 14:00:00,21.8752164837,584,34.8738448013,2.0866165161,21.8752164837
2011-01-06 15:00:00,20.7368232581,436,38.2810702648,1.8456264734,20.7368232581
2011-01-06 16:00:00,18.311440264,243,53.0650401564,1.815695405,18.311440264
2011-01-06 17:00:00,15.5613290586,33,56.6874888788,2.063272953,15.5613290586
2011-01-06 18:00:00,14.6124404243,0,58.5187975213,2.3491811752,14.6124404243
2011-01-06 19:00:00,13.7858136078,0,60.9670146767,2.5966646671,13.7858136078
2011-01-06 20:00:00,12.9827654633,0,64.1231877404,2.764092207,12.9827654633
2011-01-06 21:00:00,12.1409069295,0,67.4617694582,2.9031279087,12.1409069295
2011-01-06 22:00:00,11.3235229904,0,70.6854267312,3.0142889023,11.3235229904
2011-01-06 23:00:00,10.5185173905,0,73.8184187846,3.0158524513,10.5185173905
2011-01-07 00:00:00,9.7679623571,0,77.5078717998,2.9287383556,9.7679623571
2011-01-07 01:00:00,9.1000485438,0,81.0830050456,2.7840199471,9.1000485438
2011-01-07 02:00:00,8.5099673818,0,84.7189450198,2.4969666004,8.5099673818
2011-01-07 03:00:00,8.0323694884,0,88.1650396007,2.1436524391,8.0323694884
2011-01-07 04:00:00,7.6619907357,0,91.9458660178,1.7941019535,7.6619907357
2011-01-07 05:00:00,7.3834777901,0,95.7931529234,1.5035146475,7.3834777901
2011-01-07 06:00:00,7.0728109277,0,98.2965887442,1.299872756,7.0728109277
2011-01-07 07:00:00,8.3298582968,0,95.0807137327,1.1675139666,8.3298582968
2011-01-07 08:00:00,11.5302098679,157,71.2654631227,1.1416810751,11.5302098679
2011-01-07 09:00:00,14.7157112831,359,63.8289430928,1.0699896812,14.7157112831
2011-01-07 10:00:00,19.0515862887,532,47.2074370103,0.7583842278,19.0515862887
2011-01-07 11:00:00,21.7132167406,651,40.5110121152,0.5958870053,21.7132167406
2011-01-07 12:00:00,22.9479250831,703,37.3315299671,0.5046903491,22.9479250831
2011-01-07 13:00:00,23.4517004263,683,36.1883760769,0.4085095227,23.4517004263
2011-01-07 14:00:00,23.1479181089,593,36.1292058551,0.1754943579,23.1479181089
2011-01-07 15:00:00,21.895633572,440,39.132846957,0.471483916,21.895633572
2011-01-07 16:00:00,19.5726527629,247,54.0129374954,1.0504074097,19.5726527629
2011-01-07 17:00:00,16.8793624349,35,54.4400372768,1.4395320415,16.8793624349
2011-01-07 18:00:00,15.9319272284,0,56.6415549173,1.6270211935,15.9319272284
