Year,Month,Day,Hour,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Solar Radiation (GHI),Temp
2011,6,23,3,24,28.2620005247,968.5440673828,79.8194763273,226.2382354736,4.4556145668,0,
2011,6,23,4,24,27.9847358092,968.9718017578,81.2034173478,227.5485839844,4.2729973793,0,
2011,6,23,5,24,27.9190134641,969.8024291992,81.8544033448,227.7306518555,4.0075707436,0,
2011,6,23,6,24,29.0493012097,970.462097168,76.8808757925,226.3795623779,3.7636902332,22,
2011,6,23,7,24,31.0173467388,971.166015625,67.9791965046,227.3373413086,3.7455143929,127,
2011,6,23,8,24,32.6987184734,971.9498291016,61.6832230827,228.6244049072,3.6187074184,187,
2011,6,23,9,24,33.7494920995,971.8501586914,58.2475665827,230.4383850098,3.4854981899,265,
2011,6,23,10,24,34.4584492634,971.1666259766,55.9200882189,232.8864898682,3.3317685127,350,
2011,6,23,11,24,34.824212751,970.7651977539,54.7113177831,238.0261535645,3.1606295109,469,
2011,6,23,12,24,34.9303255854,970.1820678711,54.0015239595,245.8339233398,3.0584027767,787,
2011,6,23,13,24,34.660806824,969.4252929688,54.5582499744,254.108001709,3.0376772881,696,
2011,6,23,14,23,34.1118805988,968.8796386719,55.6036666585,257.3549194336,3.1667263508,587,
2011,6,23,15,23,33.8013203938,968.6162109375,55.8038714218,257.1298217773,3.3745291233,559,
2011,6,23,16,23,33.3913015853,968.6734008789,56.4350050892,254.6050872803,3.4936301708,294,
2011,6,23,17,23,32.7022596865,969.1110839844,58.7063546211,249.0904846191,3.5477614403,120,
2011,6,23,18,23,31.7753991339,969.3596801758,62.4351078725,243.0376281738,3.8435411453,27,
2011,6,23,19,23,31.0339765529,969.5744018555,64.7319107346,239.2481384277,4.2994718552,0,
2011,6,23,20,23,30.4360169435,969.8310546875,66.6595674156,237.6209259033,4.5491261482,0,
2011,6,23,21,23,29.8634689747,969.9935913086,68.9904269396,236.7758026123,4.6580786705,0,
2011,6,23,22,23,29.3846213212,969.6668701172,71.0886788004,235.9174499512,4.6857023239,0,
2011,6,23,23,23,28.9301183608,969.1666870117,73.1349185433,234.5480499268,4.6024866104,0,
2011,6,24,0,23,28.5203703529,969.0770874023,75.1978966824,232.5550231934,4.4666180611,0,
2011,6,24,1,23,28.1601361913,969.0544433594,76.9718869444,230.4486999512,4.3782510757,0,
2011,6,24,2,23,27.7817677441,968.7988891602,78.9856719654,230.4317169189,4.4121785164,0,
2011,6,24,3,23,27.4406408929,969.2381591797,81.0637607949,231.280166626,4.504339695,0,
2011,6,24,4,24,27.1268379759,969.697265625,83.1952498452,232.0657196045,4.5791702271,0,
2011,6,24,5,24,27.0736149934,970.1831665039,84.8493868244,232.8793487549,4.6089420319,0,
2011,6,24,6,24,28.3299378381,970.9448852539,80.0772122099,234.6197662354,4.6392626762,29,
2011,6,24,7,24,30.115844828,971.3737182617,72.0869721204,237.9565734863,4.7589931488,118,
2011,6,24,8,24,32.0830122931,971.7692260742,64.2585419233,239.337677002,4.6961936951,224,
2011,6,24,9,24,33.9237233797,971.5022583008,57.2782412978,239.700088501,4.6855092049,489,
2011,6,24,10,23,35.6004016104,971.2646484375,51.2652763993,240.26512146,4.7405452728,691,
2011,6,24,11,23,37.0275098785,970.7152709961,45.8145723044,241.8928527832,4.8480715752,692,
2011,6,24,12,22,38.0283395347,969.720703125,41.9964773502,243.642288208,5.0451536179,908,
2011,6,24,13,22,38.6568594394,969.0628051758,39.1887219414,245.821182251,5.2055044174,887,
