Year,Month,Day,Hour,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,GHI
2012,10,24,5,18,20.0717548251,983.9685058594,88.2269155045,22.0053863525,0.4646659791,0
2012,10,24,6,18,19.8921052855,984.3054199219,91.4737987569,22.6917495728,0.5790935159,0
2012,10,24,7,19,21.5851577326,984.8360595703,88.6060806586,26.8219604492,0.61997509,100
2012,10,24,8,16,23.9812531341,985.1577148438,63.2933205506,28.8357391357,0.6230762005,309
2012,10,24,9,16,27.5339776692,985.7604370117,51.4400590441,13.2699279785,0.9061903954,504
2012,10,24,10,12,30.8408898091,985.8343505859,32.9478566972,3.9445037842,1.6670267582,655
2012,10,24,11,11,32.0698277384,985.3164672852,28.6361616991,1.5289154053,1.8478441238,749
2012,10,24,12,10,32.5518831122,984.4841308594,26.3200270545,1.5974960327,1.9767551422,781
2012,10,24,13,10,32.4592274018,984.0861206055,25.2007546706,3.7485733032,2.0793681145,732
2012,10,24,14,9,31.8119980868,983.4808959961,25.1678993153,8.522644043,2.1875870228,627
2012,10,24,15,9,30.650172484,982.9263305664,27.8079699973,13.5970993042,2.2734363079,459
2012,10,24,16,11,28.8516460831,982.6918334961,33.4066130682,20.6700363159,2.2564184666,244
2012,10,24,17,12,25.9474379567,982.7918701172,42.4696748005,28.9009895325,2.4288215637,36
2012,10,24,18,11,24.4378903467,983.3653564453,44.8176645914,35.5622558594,2.687328577,0
2012,10,24,19,10,23.395624246,983.9573974609,45.410962871,39.8355560303,2.9277102947,0
2012,10,24,20,10,22.4297272972,984.7064819336,47.1888299841,43.0274505615,2.9759199619,0
2012,10,24,21,10,21.5466265483,985.1219482422,49.1285438596,46.6574707031,2.9524486065,0
2012,10,24,22,10,20.8056296693,985.4961547852,50.5960633999,50.2171821594,2.9321584702,0
2012,10,24,23,9,20.1748591212,985.2732543945,51.2519160822,53.4965362549,2.8797106743,0
2012,10,25,0,9,19.6548871974,985.1615600586,51.4808351336,57.1052474976,2.7991983891,0
