Year,Month,Day,Hour,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Temp
2011,9,6,0,0,26,26.718064772,978.4951171875,96.7544184615,55.3984069824,4.3146429062,
2011,9,6,1,0,26,26.6014114946,977.83203125,97.0957961945,50.3010482788,4.2436256409,
2011,9,6,2,0,26,26.5708043096,977.2392578125,96.9348857374,43.2378044128,4.1208467484,
2011,9,6,3,0,25,26.4887737278,977.2223510742,96.995994396,36.4006881714,4.091345787,
2011,9,6,4,0,25,26.3905379821,977.1466674805,97.1455783277,31.9709701538,4.1297287941,
2011,9,6,5,0,25,26.3167448622,977.3619995117,97.1794863731,29.7643547058,4.1381793022,
2011,9,6,6,0,25,26.3108061263,978.0531616211,97.0013630776,29.1068840027,4.1241288185,
2011,9,6,7,57,25,26.5336127387,978.5151977539,96.0215433908,30.2202568054,4.0176157951,
2011,9,6,8,234,25,26.9908531776,978.7958374023,94.1005172223,32.313659668,3.8871297836,
2011,9,6,9,252,26,28.0674390409,978.7659912109,88.6758092026,35.1546669006,3.9186375141,
2011,9,6,10,348,26,29.286566463,978.4580078125,84.0454701084,38.8810157776,3.9593052864,
2011,9,6,11,280,26,29.8000148158,977.4046020508,81.6396970178,39.899471283,3.7924056053,
2011,9,6,12,278,26,30.2435132253,976.8316040039,80.4667360328,41.4168968201,3.456703186,
2011,9,6,13,562,26,30.3847347607,975.9037475586,79.6014926167,41.4712104797,3.0853312016,
2011,9,6,14,501,26,30.1337678514,975.6990966797,79.7692953037,38.0212020874,2.8901467323,
2011,9,6,15,623,26,29.7909789902,975.5798339844,80.7194465258,32.1580734253,2.8274240494,
2011,9,6,16,329,26,29.3195254642,975.8995361328,82.941467511,25.0407409668,2.7980012894,
2011,9,6,17,46,26,28.7937226785,976.4088745117,86.5037400551,19.6136398315,2.8037118912,
2011,9,6,18,10,26,28.1861482156,977.009765625,89.7834861231,16.6289596558,3.0144088268,
2011,9,6,19,0,26,27.8446600783,977.357421875,92.0756336432,18.9840393066,3.1461818218,
2011,9,6,20,0,26,27.5694850306,977.9144897461,94.0710772062,22.5390090942,3.1280825138,
2011,9,6,21,0,26,27.3587794711,978.0220336914,95.6901808578,25.8038406372,3.0266704559,
2011,9,6,22,0,26,27.1556866047,977.4995117188,97.0915477478,27.5176696777,2.8797254562,
2011,9,6,23,0,26,26.99774466,976.9038085938,97.9629534525,25.3238143921,2.7646160126,
2011,9,7,0,0,26,26.9201860161,976.7168579102,98.2682789544,19.3773727417,2.7124276161,
2011,9,7,1,0,26,26.8962602349,976.0491333008,98.0672136133,10.6976928711,2.7104301453,
2011,9,7,2,0,26,26.8306609198,975.9692993164,98.0376125079,6.1283416748,2.7522630692,
2011,9,7,3,0,26,26.7496823613,976.0760498047,98.1176622061,4.8088989258,2.8342764378,
