Year,Month,Day,Hour,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Temp
2010,10,16,11,770,16,34.4623962973,981.0357666016,33.5305717261,278.539855957,1.2519949675,
2010,10,16,12,800,15,35.8422424064,980.1746826172,30.0343410748,286.044921875,1.51090312,
2010,10,16,13,754,14,36.4822987455,979.0241699219,27.7959804472,293.0688476563,1.741206646,
2010,10,16,14,640,14,36.3379824175,978.5616455078,26.7125125325,305.8690185547,1.9864069223,
2010,10,16,15,471,13,35.5653111534,978.3049926758,26.5724845143,320.0769042969,2.1713001728,
2010,10,16,16,265,14,33.8162180641,978.09765625,31.6963401456,331.7736816406,2.1741631031,
2010,10,16,17,46,14,31.5437509624,978.1424560547,36.601662329,342.925567627,2.0608391762,
2010,10,16,18,0,14,30.3148180482,978.4202880859,37.3068862907,355.712097168,1.9600719213,
2010,10,16,19,0,15,29.4859714993,978.9659423828,42.730120771,11.2378082275,1.8711662292,
2010,10,16,20,0,14,28.7561163439,979.2863769531,41.2307502421,34.9184379578,1.8802812099,
2010,10,16,21,0,15,27.9901836238,979.5768432617,46.2151863739,59.061164856,2.1497347355,
2010,10,16,22,0,15,27.2667906375,979.637878418,47.9567232699,75.0656509399,2.5632429123,
2010,10,16,23,0,17,26.443849234,979.2072143555,56.3491717928,85.0583648682,2.9510416985,
2010,10,17,0,0,17,25.7803299391,979.0807495117,59.7525800229,91.1501922607,3.2192504406,
2010,10,17,1,0,18,25.1232237734,978.6168823242,66.7646326163,94.6206970215,3.3705539703,
2010,10,17,2,0,19,24.4418987692,978.4272460938,75.1055395703,96.8337860107,3.3074359894,
2010,10,17,3,0,20,23.8617077734,978.505859375,82.5801645517,98.5316162109,3.147680521,
2010,10,17,4,0,21,23.3468932341,979.0217895508,89.0120227806,100.310798645,2.9681425095,
2010,10,17,5,0,21,22.91437565,979.5000610352,93.9085142568,102.239982605,2.7832832336,
2010,10,17,6,0,22,22.8029276989,980.0598144531,96.0162606785,104.1922225952,2.6197524071,
2010,10,17,7,106,22,24.8454062208,980.7246704102,86.0892686628,105.8052139282,2.2733170986,
2010,10,17,8,314,23,27.3128180368,980.9529418945,79.4145249853,104.4856109619,1.7637088299,
2010,10,17,9,513,23,30.4928031866,981.0757446289,66.1663837565,95.668510437,1.9417439699,
2010,10,17,10,669,22,32.6839447061,980.8508300781,55.8664947288,87.7977600098,1.9916840792,
2010,10,17,11,764,21,34.3091977222,980.5918579102,46.9017340832,77.8771896362,2.0065248013,
2010,10,17,12,791,19,35.4578352347,979.5520629883,40.3747561862,64.9776611328,1.9689948559,
2010,10,17,13,745,18,35.859961872,978.5076904297,37.2071378189,51.9534454346,2.0395224094,
2010,10,17,14,632,18,35.6559394971,977.8828735352,35.938857396,45.4366836548,2.2594742775,
2010,10,17,15,463,17,34.8270242831,977.7985229492,36.4949532922,43.9840888977,2.5034835339,
2010,10,17,16,259,17,33.2147171047,977.9128417969,39.6562499566,45.8488807678,2.6768352985,
2010,10,17,17,43,18,31.0802212988,978.4549560547,46.0152953985,51.3227615356,2.7104282379,
2010,10,17,18,0,18,29.7284489656,979.1669311523,51.1689257924,59.1661758423,2.8510940075,
2010,10,17,19,0,18,28.8997746491,979.8168334961,53.8710331618,68.2868347168,2.9426846504,
2010,10,17,20,0,18,28.1296625664,980.4448242188,57.0304505357,75.1374816895,3.1538333893,
2010,10,17,21,0,18,27.3904851869,981.0921020508,59.4138317924,80.8020858765,3.3644003868,
2010,10,17,22,0,18,26.6271423233,981.0424194336,62.6412485812,85.4811172485,3.459405899,
2010,10,17,23,0,19,25.860947811,980.7349243164,66.4088905952,89.4407501221,3.440618515,
2010,10,18,0,0,19,25.109955367,980.4147949219,71.1726093001,93.4490127563,3.3696041107,
2010,10,18,1,0,20,24.461741935,980.38671875,76.425438763,97.8112640381,3.2613806725,
2010,10,18,2,0,20,23.9376685743,980.3311767578,81.6151684129,103.9921264648,3.100893259,
2010,10,18,3,0,21,23.479327436,980.6482543945,86.9199875738,108.5610046387,2.9185225964,
2010,10,18,4,0,21,23.0734820919,981.0321655273,91.9223334987,111.1406555176,2.7736577988,
2010,10,18,5,0,22,22.7515838,981.5026245117,96.4615742024,111.7969741821,2.6594202518,
2010,10,18,6,0,22,22.691320756,982.1971435547,98.8384434616,111.0097122192,2.5618197918,
2010,10,18,7,106,22,24.5948209816,982.6715698242,89.1706618005,108.2998504639,2.2557282448,
2010,10,18,8,311,23,27.2371414758,983.0847167969,79.5509304008,102.2013931274,1.9973113537,
2010,10,18,9,507,23,29.813362425,983.1024780273,67.7849224048,95.1778793335,2.2916388512,
2010,10,18,10,662,22,31.5015595942,983.0159912109,59.8436190303,89.1165618896,2.2638013363,
2010,10,18,11,758,21,32.8579865076,982.1612548828,52.694625596,82.4972686768,2.2036650181,
2010,10,18,12,784,21,33.7309965844,981.3963623047,47.8393998446,74.0378646851,2.1160559654,
2010,10,18,13,738,20,34.1215411514,980.4153442383,44.5406878532,63.7624130249,2.0869510174,
2010,10,18,14,625,19,33.9547504684,979.6632080078,42.8481484878,54.9784049988,2.1636378765,
2010,10,18,15,457,18,33.1381792654,979.2184448242,42.9266052972,50.6137962341,2.3433623314,
2010,10,18,16,253,18,31.7526678546,979.4620361328,44.8777890037,50.7741012573,2.4781095982,
2010,10,18,17,44,18,29.7386928014,980.0754394531,51.0241094754,54.7163238525,2.45683074,
2010,10,18,18,0,18,28.6111393952,980.7944335938,55.2450686655,61.6893234253,2.3865420818,
2010,10,18,19,0,18,27.8725519707,981.7847290039,58.201683187,70.4038696289,2.288872242,
2010,10,18,20,0,19,27.2421394863,982.1786499023,60.8878805519,79.2942199707,2.1875271797,
2010,10,18,21,0,19,26.6367557304,982.2261352539,63.4470019929,88.1900024414,2.0945534706,
2010,10,18,22,0,19,25.992133051,981.8811645508,66.3235252953,95.5225830078,2.0102155209,
2010,10,18,23,0,19,25.4031743108,981.4375610352,69.170070932,100.0538253784,1.9135453701,
2010,10,19,0,0,19,24.8259410025,980.9690551758,72.0907296554,102.3385848999,1.8471893072,
2010,10,19,1,0,19,24.2793406607,980.5441894531,75.157054291,103.465385437,1.8197817802,
2010,10,19,2,0,19,23.7820262076,980.4867553711,78.1497870695,107.2516326904,1.852284193,
2010,10,19,3,0,19,23.3718575924,980.7546386719,81.0224250584,111.6355667114,1.9013698101,
2010,10,19,4,0,20,23.030873819,981.3491821289,83.7531487012,116.2896194458,1.9484401941,
2010,10,19,5,0,20,22.705236501,982.0626831055,86.674956472,121.5310974121,2.0092842579,
2010,10,19,6,0,20,22.7070858047,982.8323364258,87.9734951562,126.8850479126,2.0501103401,
2010,10,19,7,103,21,24.6986901284,983.3157348633,80.2515297903,131.9592285156,1.8838800192,
2010,10,19,8,306,22,27.1166013346,983.8324584961,75.2204140441,135.6974945068,1.3871102333,
2010,10,19,9,501,22,30.2830165325,984.2059936523,62.8776661856,114.4659729004,1.332508564,
2010,10,19,10,654,22,32.2486664048,984.0263671875,55.4450709797,99.6743011475,1.0744507313,
2010,10,19,11,749,21,33.8078975343,983.4298095703,48.3749282602,72.4637756348,0.8452963829,
2010,10,19,12,775,20,34.8102721715,982.427734375,43.437954748,37.4687232971,0.8861365914,
2010,10,19,13,730,19,35.1669727444,981.3972167969,40.4149322117,16.207572937,1.1439058781,
2010,10,19,14,618,18,34.9300352666,980.5068359375,38.9603572085,10.5713195801,1.5186737776,
2010,10,19,15,451,18,34.0560007094,980.3062133789,39.0944163738,13.0292358398,1.9068294764,
2010,10,19,16,250,17,32.6344023651,980.2791748047,40.7254923174,18.6521759033,2.1684408188,
2010,10,19,17,40,18,30.4203053997,980.4191894531,47.5407786726,29.1692810059,2.2826986313,
2010,10,19,18,0,17,29.3853143523,980.9890136719,50.0215205164,42.0793685913,2.4205379486,
2010,10,19,19,0,18,28.6467418372,981.4959106445,54.0853530638,55.2999153137,2.5157756805,
2010,10,19,20,0,18,27.9494335762,981.7908935547,56.2338916897,68.2344207764,2.4615364075,
2010,10,19,21,0,18,27.2911618586,982.0559082031,60.1217529544,82.7438659668,2.3339009285,
2010,10,19,22,0,18,26.7071349709,982.0736694336,60.5683095692,96.4789352417,2.2137768269,
2010,10,19,23,0,18,26.1232649854,982.0291748047,61.9676058766,109.4855194092,2.0697553158,
2010,10,20,0,0,18,25.5822496071,981.7339477539,64.0224671931,121.9117584229,1.9489606619,
2010,10,20,1,0,18,25.0823716774,981.5806274414,66.4508787814,133.1166534424,1.8620256186,
2010,10,20,2,0,18,24.5738245113,981.6331787109,69.1051258683,139.7158660889,1.8678156137,
2010,10,20,3,0,18,24.1186558324,981.4948730469,71.6989771346,141.3860473633,1.8801863194,
2010,10,20,4,0,18,23.6742283421,981.6890258789,74.5333301029,140.9418334961,1.909911871,
2010,10,20,5,0,19,23.2648655492,982.0051269531,77.4888596618,140.0080871582,1.9689786434,
2010,10,20,6,0,19,23.1124696902,982.4926147461,79.5518461667,139.7823028564,2.0013139248,
2010,10,20,7,99,20,24.8697027815,982.9636230469,74.8844503831,140.2834472656,1.8617184162,
2010,10,20,8,305,21,27.0966769718,983.6473388672,71.4922756294,143.8109436035,1.3888235092,
2010,10,20,9,499,21,30.5547137371,983.8324584961,58.3155014517,124.4526672363,0.9791091681,
2010,10,20,10,651,20,33.0778494939,983.9700317383,47.8735914902,85.9139404297,0.9573475122,
2010,10,20,11,744,20,34.3764249534,983.5827636719,43.3404852188,57.2012290955,1.0086096525,
2010,10,20,12,769,19,35.0538629868,982.6518554688,40.2779522376,35.4180641174,1.2645914555,
2010,10,20,13,723,18,35.1547475728,981.9286499023,38.4739699873,24.7785797119,1.6591924429,
2010,10,20,14,611,18,34.8138071876,981.1328735352,37.4795811652,19.4157791138,2.0566017628,
2010,10,20,15,445,17,33.891811116,980.5655517578,37.6608452619,17.6424255371,2.4087204933,
2010,10,20,16,245,17,32.3556311791,980.2531738281,40.0391370575,19.2164916992,2.5513782501,
