Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed
2014,10,10,9,30,227,503,520,10,34.7515433383,983.8119506836,22.6961568003,231.4908447266,0.6457223892
2014,10,10,10,30,258,591,682,10,37.2582693239,983.6628417969,19.2862148567,286.9261169434,0.9186000824
2014,10,10,11,30,275,644,789,9,38.8724310953,983.1853027344,16.7490933852,303.3704528809,1.3063493967
2014,10,10,12,30,280,655,818,8,39.7899398374,981.9216308594,14.9885669479,311.7129516602,1.6642254591
2014,10,10,13,30,272,637,774,7,40.0132674741,981.0051269531,14.1339974753,316.1805725098,1.9697988033
2014,10,10,14,30,254,576,654,7,39.4873580503,980.214050293,14.1409871697,318.6585083008,2.1271681786
2014,10,10,15,30,218,497,491,6,38.305752978,980.0975341797,14.6748933995,322.095489502,2.1860194206
2014,10,10,16,30,173,281,276,6,36.4020502997,979.8839111328,16.1714525206,324.9409484863,2.1465544701
2014,10,10,17,30,56,14,59,7,33.565229389,980.1687011719,19.988132778,328.5799560547,1.954177022
2014,10,10,18,30,0,0,0,11,30.8823563059,980.7512817383,31.158139944,334.9569091797,1.703073144
2014,10,10,19,30,0,0,0,10,30.8719089587,981.4224243164,28.1865194804,342.7707519531,1.4606497288
2014,10,10,20,30,0,0,0,11,29.4544066488,981.8274536133,34.0256478749,353.3818359375,1.0830786228
2014,10,10,21,30,0,0,0,7,29.5920491446,981.9592895508,25.515353402,11.4732055664,0.6217635274
2014,10,10,22,30,0,0,0,9,28.8907993517,981.9880371094,29.0757889805,70.0184707642,0.3098958433
2014,10,10,23,30,0,0,0,8,28.1884771654,981.7852172852,28.5914827456,138.7245483398,0.5841094851
2014,10,11,0,30,0,0,0,8,27.560593657,981.2475585938,29.2301366743,159.6610412598,1.0846617222
2014,10,11,1,30,0,0,0,8,26.8870623791,980.6504516602,30.7294080127,171.1592712402,1.5732492208
2014,10,11,2,30,0,0,0,7,26.2337471018,980.4108886719,31.4796102448,179.3728637695,1.8401776552
2014,10,11,3,30,0,0,0,7,25.5977668076,980.3348999023,32.5417729338,187.7462921143,1.9606310129
2014,10,11,4,30,0,0,0,7,25.0100471696,980.5266113281,33.7782743903,195.8642883301,2.025860548
2014,10,11,5,30,0,0,0,8,24.3928291521,980.9710693359,35.33367019,203.8432006836,2.0549418926
2014,10,11,6,30,0,0,0,8,24.2657736013,981.4403686523,36.3750174198,212.1594543457,2.0530815125
2014,10,11,7,30,91,92,109,8,26.7404557793,982.0493774414,32.0635950481,221.6239929199,1.8890538216
2014,10,11,8,30,176,356,319,8,30.0171801474,982.710144043,26.0625000623,231.942565918,1.3775501251
2014,10,11,9,30,217,516,516,6,35.0327209246,982.4233398438,17.3350259697,282.1343994141,1.2909263372
2014,10,11,10,30,255,584,672,4,37.6544314108,981.9871826172,12.9871869127,305.1350708008,1.4602305889
