date,Wind Speed,Temperature,Pressure,Relative Humidity,Wind Direction,Dew Point,Solar Radiation
2011-06-15 07:00:00,4.9867696762,30.6244613892,973.85748291,65.6590737144,220.67868042,23,215
2011-06-15 08:00:00,4.945145607,32.7724770267,973.98059082,57.7206511795,221.886001587,23,416
2011-06-15 09:00:00,4.9788184166,34.8148320532,973.688964844,50.9248718725,223.581512451,23,626
2011-06-15 10:00:00,5.082444191,36.2695152982,973.080932617,46.2063034458,225.962814331,22,779
2011-06-15 11:00:00,5.2803840637,37.4988761086,972.753601074,41.2720564693,228.498413086,22,880
2011-06-15 12:00:00,5.479780674,38.6296691303,971.91418457,37.6101026561,230.880340576,21,921
2011-06-15 13:00:00,5.7077946663,39.5011402825,971.254333496,34.5859512088,232.509368897,21,598
2011-06-15 14:00:00,5.6382880211,40.0297074293,970.404113769,32.4618561396,233.521499634,20,783
2011-06-15 15:00:00,5.3605923653,39.9371427502,969.827331543,31.6156179151,233.804290772,19,634
2011-06-15 16:00:00,5.0763254166,39.0537313801,969.800354004,32.8371466875,233.016540527,19,470
2011-06-15 17:00:00,4.8377537727,37.6368163787,969.844360352,35.6037183781,230.303604126,19,265
2011-06-15 18:00:00,4.4843459129,36.0994036443,970.375427246,39.4952675902,224.40814209,20,78
2011-06-15 19:00:00,4.4177966118,34.9124966452,971.288330078,43.7907369766,217.043457031,20,0
2011-06-15 20:00:00,4.8984885216,34.1296798372,971.771301269,46.7458282311,213.423431397,21,0
2011-06-15 21:00:00,5.4195370674,33.3038755001,972.175476074,49.7364305626,214.508361816,21,0
2011-06-15 22:00:00,5.8775105476,32.4847237048,972.382385254,52.4997214566,217.652679443,21,0
2011-06-15 23:00:00,6.265402317,31.6804159705,972.240844727,54.9492493052,220.625564575,21,0
2011-06-16 00:00:00,6.5900797844,30.8648460501,971.985595703,58.512704925,222.664855957,21,0
2011-06-16 01:00:00,6.7860412598,30.0003260976,971.573730469,64.2730672289,223.952804565,22,0
2011-06-16 02:00:00,6.7169332504,29.1695034205,971.181213379,70.9460465818,224.427246094,23,0
2011-06-16 03:00:00,6.4760117531,28.5394951657,971.239746094,75.5303989149,224.672470093,23,0
2011-06-16 04:00:00,6.3140406609,28.1993359942,971.198120117,77.4679844689,225.533813477,23,0
2011-06-16 05:00:00,6.240896225,28.2623774618,971.424926758,76.6932918557,226.899963379,23,0
2011-06-16 06:00:00,6.4381837845,29.1468189366,971.768798828,72.2733705671,228.743835449,23,35
2011-06-16 07:00:00,6.5270428658,30.6538297763,972.111206055,66.0704763521,228.962814331,23,215
2011-06-16 08:00:00,6.2196340561,32.870095658,971.884033203,57.2595365764,230.394454956,23,383
2011-06-16 09:00:00,5.657959938,35.1303629624,971.829406738,49.5616013687,231.987792969,23,540
2011-06-16 10:00:00,5.1434383392,37.2280310818,971.102539062,43.31781187,233.799957275,22,751
2011-06-16 11:00:00,4.7675123215,38.949291372,970.762573242,38.6031773983,235.723556519,22,884
2011-06-16 12:00:00,4.482252121,40.0922959312,969.966247559,35.4309919561,237.33543396,21,925
2011-06-16 13:00:00,4.2954964638,40.5602648292,969.512145996,34.0517820429,238.096160889,21,902
2011-06-16 14:00:00,4.3108353615,40.3267786965,968.500915527,34.1059489087,240.018997192,21,777
2011-06-16 15:00:00,4.3861489296,39.5836449885,968.005615234,35.2566245335,242.559524536,21,573
2011-06-16 16:00:00,4.4592404366,38.4078720728,967.833190918,37.4499830084,244.005844116,21,471
2011-06-16 17:00:00,4.5329675674,36.8691297318,967.985595703,40.8726434938,243.02444458,21,260
2011-06-16 18:00:00,4.4152846336,35.331796032,968.631530762,45.3842053744,239.711685181,21,79
2011-06-16 19:00:00,4.4518995285,34.189892473,969.386047363,50.3949998274,235.102798462,22,0
2011-06-16 20:00:00,4.7146191597,33.2975279711,970.04699707,54.4371760841,230.065597534,22,0
2011-06-16 21:00:00,5.056520462,32.468655178,970.55456543,58.164780867,226.769775391,23,0
2011-06-16 22:00:00,5.3748111725,31.71947432,970.505981445,61.3052474166,225.878570557,23,0
2011-06-16 23:00:00,5.6276731491,31.0273021144,970.229248047,64.1744859805,226.582199097,23,0
2011-06-17 00:00:00,5.8054447174,30.3510802883,970.117614746,66.9144340382,227.637695312,23,0
2011-06-17 01:00:00,5.9626221657,29.6258806024,969.548583984,69.9506649576,228.639541626,23,0
2011-06-17 02:00:00,5.9006872177,28.8267865414,969.411132812,73.9777568976,229.017883301,23,0
2011-06-17 03:00:00,5.6690998077,28.2202049217,969.558105469,76.9920770971,229.319488525,23,0
2011-06-17 04:00:00,5.4949402809,27.8289381457,969.587219238,78.8346627221,228.759811401,23,0
2011-06-17 05:00:00,5.0242605209,27.7556721216,970.178710938,80.0063142678,226.497924805,23,0
2011-06-17 06:00:00,5.0592694283,28.607904192,970.545654297,76.1503802524,225.403747559,23,38
2011-06-17 07:00:00,5.1057538986,30.2705440104,970.992736816,67.3017365624,225.478134155,23,205
