Year,Month,Day,Hour,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Solar Radiation (GHI),Temp
2011,10,22,1,19,23.741994791,981.1466674805,77.970683608,191.5881958008,0.5709267259,0,
2011,10,22,2,19,23.194065508,980.9859008789,80.9832345841,193.91847229,0.6132699251,0,
2011,10,22,3,19,22.7148988144,981.0374145508,82.2887106363,197.1382141113,0.6074883938,0,
2011,10,22,4,19,22.2775011832,981.839050293,83.5463755176,194.8089904785,0.5854353309,0,
2011,10,22,5,19,21.8951682731,982.5270996094,83.8689980062,181.7714538574,0.582639277,0,
2011,10,22,6,19,21.7336479257,983.3798217773,87.1348511746,164.8681640625,0.6667196155,0,
2011,10,22,7,21,23.4376880459,983.86328125,88.4429108204,154.6081848145,0.788995862,102,
2011,10,22,8,19,25.0248939567,984.5495605469,71.3880160895,151.0148010254,0.8848472834,315,
2011,10,22,9,20,27.774072645,984.7730102539,65.838149502,151.7479248047,0.8450626731,515,
2011,10,22,10,19,31.0949721212,984.5299072266,51.4540773416,135.9462585449,0.5837032199,672,
2011,10,22,11,19,33.0345507232,984.1101074219,45.6198906691,119.3368377686,0.4350531101,769,
2011,10,22,12,19,33.7363337616,982.995300293,43.3160657314,113.7114257813,0.3650312126,796,
2011,10,22,13,19,33.7747973915,982.3299560547,42.7829658747,110.0492172241,0.3554070294,750,
2011,10,22,14,19,33.3843526439,981.5969848633,43.5600375185,95.6151580811,0.2889746726,635,
2011,10,22,15,19,32.5331962113,981.4301147461,45.941819832,71.7344970703,0.2530919015,465,
2011,10,22,16,19,30.1260825088,981.5461425781,53.2335862152,51.3809165955,0.2447800934,258,
2011,10,22,17,20,27.7393647389,981.8666381836,64.1139439592,48.7527732849,0.2407242954,45,
2011,10,22,18,21,28.0780037093,982.4528808594,66.5412244095,80.4516067505,0.2516800165,0,
2011,10,22,19,20,27.4905925123,982.9137573242,67.00712836,117.6551208496,0.3621662259,0,
2011,10,22,20,21,26.8150887736,983.15625,70.6471904344,137.342956543,0.6954861283,0,
2011,10,22,21,20,26.1178676269,983.4675292969,69.8692005342,145.083984375,1.1136547327,0,
2011,10,22,22,19,25.4585717383,983.4370727539,68.7957825791,150.5628662109,1.4588214159,0,
2011,10,22,23,17,24.789172115,983.2819213867,64.8642190727,156.5121002197,1.6844968796,0,
2011,10,23,0,18,24.1714166338,983.2255859375,68.7307995333,162.1889953613,1.8366334438,0,
2011,10,23,1,17,23.5962406657,983.125,70.4556717138,167.0262756348,1.9216070175,0,
2011,10,23,2,17,23.0641058011,982.8911743164,72.8804471957,174.1899719238,1.8048118353,0,
2011,10,23,3,17,22.5985402821,982.9216918945,75.1062113494,183.2712554932,1.6571474075,0,
2011,10,23,4,17,22.1580826385,983.4359741211,77.051695531,190.8243713379,1.581179142,0,
2011,10,23,5,17,21.742402107,983.7228393555,78.5404813952,193.8506164551,1.5651314259,0,
2011,10,23,6,17,21.5928006087,984.3471679688,79.8011841749,194.4095916748,1.5928789377,0,
2011,10,23,7,18,22.9508359722,984.6119384766,77.6760514892,195.2117919922,1.5886316299,104,
2011,10,23,8,19,25.168974855,985.3239135742,70.6728061022,194.4465484619,1.4003134966,311,
2011,10,23,9,20,28.1918772357,985.3990478516,62.3518009938,203.9033966064,1.1727501154,510,
2011,10,23,10,20,31.0346221043,985.5075073242,52.2842641807,224.9805755615,1.0795269012,667,
2011,10,23,11,20,32.419268512,984.9935913086,48.1905750808,241.4234619141,1.2174576521,759,
